"ID";"SoortMisdrijf";"RegioS";"Perioden";"GeregistreerdeMisdrijvenPer1000Inw_3"
"3605";"0000000";"GM0707";"2015JJ00";"    26.5"
"3613";"0000000";"GM0478";"2015JJ00";"    24.9"
"3621";"0000000";"GM0050";"2015JJ00";"    34.6"
"3629";"0000000";"GM0355";"2015JJ00";"    57.5"
"3637";"0000000";"GM0299";"2015JJ00";"    35.0"
"3645";"0000000";"GM0476";"2015JJ00";""
"3653";"0000000";"GM0637";"2015JJ00";"    54.1"
"3661";"0000000";"GM0638";"2015JJ00";"    31.7"
"3669";"0000000";"GM0056";"2015JJ00";"    18.7"
"3677";"0000000";"GM1892";"2015JJ00";"    40.1"
"3685";"0000000";"GM0879";"2015JJ00";"    47.8"
"3693";"0000000";"GM0301";"2015JJ00";"    55.6"
"3701";"0000000";"GM1896";"2015JJ00";"    28.5"
"3709";"0000000";"GM0642";"2015JJ00";"    42.0"
"3717";"0000000";"GM0193";"2015JJ00";"    60.4"
"3725";"0000000";"GM0999";"2015JJ00";""
"3733";"0000000";"RE01  ";"2015JJ00";"    44.6"
"3741";"0000000";"RE02  ";"2015JJ00";"    46.0"
"3749";"0000000";"RE03  ";"2015JJ00";"    57.0"
"3757";"0000000";"RE04  ";"2015JJ00";"    55.6"
